country_code,country,year,wage_gap_ratio_mean,raw_wage_gap_ratio_mean,wage_gap_ratio_median,raw_wage_gap_ratio_median,wage_gap_ratio_decile_1,raw_wage_gap_ratio_decile_1,wage_gap_ratio_decile_9,raw_wage_gap_ratio_decile_9
ARG,Argentina,2017,11.12474313,11.12474313,7.857142857,7.857142857,14.28571429,14.28571429,10.71428571,10.71428571
ARG,Argentina,2018,9.953740842,9.953740842,11.11111111,11.11111111,22.22222222,22.22222222,11.42857143,11.42857143
ARG,Argentina,2019,9.036431868,9.036431868,12.0,12.0,19.64285714,19.64285714,8.333333333,8.333333333
ARG,Argentina,2020,6.757103788,6.757103788,6.25,6.25,6.666666667,6.666666667,10.0,10.0
ARG,Argentina,2021,7.935946485,7.935946485,6.25,6.25,5.0,5.0,10.0,10.0
ARG,Argentina,2022,9.346530528,9.346530528,6.666666667,6.666666667,14.28571429,14.28571429,11.76470588,11.76470588
ARG,Argentina,2023,7.897972593,7.897972593,6.25,6.25,14.28571429,14.28571429,10.25641026,10.25641026
ARG,Argentina,2024,11.55910732,11.55910732,9.090909091,9.090909091,10.0,10.0,8.333333333,8.333333333
AUS,Australia,1975,25.65789474,25.65789474,21.58273381,21.58273381,27.8069255,27.8069255,32.00346921,32.00346921
AUS,Australia,1976,24.71264368,24.71264368,20.75471698,20.75471698,25.4318618,25.4318618,29.46768061,29.46768061
AUS,Australia,1977,23.56020942,23.56020942,18.3908046,18.3908046,23.66812227,23.66812227,27.9637378,27.9637378
AUS,Australia,1978,22.48803828,22.48803828,19.79166667,19.79166667,22.21311475,22.21311475,27.78485041,27.78485041
AUS,Australia,1979,22.76785714,22.76785714,20.0,20.0,18.36896279,18.36896279,28.34782609,28.34782609
AUS,Australia,1980,22.05645161,22.05645161,18.75,18.75,21.68330956,21.68330956,26.74875557,26.74875557
AUS,Australia,1981,21.37681159,21.37681159,18.25396825,18.25396825,18.6440678,18.6440678,-27.38503775,-27.38503775
AUS,Australia,1982,23.91304348,23.91304348,20.81911263,20.81911263,23.39346111,23.39346111,29.10167818,29.10167818
AUS,Australia,1983,21.76470588,21.76470588,19.15584416,19.15584416,22.93773284,22.93773284,6.174990321,6.174990321
AUS,Australia,1984,22.13114754,22.13114754,18.6746988,18.6746988,21.72413793,21.72413793,22.77797769,22.77797769
AUS,Australia,1985,23.0964467,23.0964467,19.60784314,19.60784314,21.80755396,21.80755396,21.60206718,21.60206718
AUS,Australia,1986,20.71428571,20.71428571,18.84816754,18.84816754,19.66145833,19.66145833,21.88900912,21.88900912
AUS,Australia,1987,20.4954955,20.4954955,18.51851852,18.51851852,17.98069187,17.98069187,22.66415968,22.66415968
AUS,Australia,1988,20.79831933,20.79831933,18.79350348,18.79350348,17.96966161,17.96966161,24.93290392,24.93290392
AUS,Australia,1989,21.19460501,21.19460501,18.58974359,18.58974359,16.70250896,16.70250896,22.91983765,22.91983765
AUS,Australia,1990,20.73394495,20.73394495,18.18181818,18.18181818,16.53623682,16.53623682,19.60465407,19.60465407
AUS,Australia,1991,19.12280702,19.12280702,16.015625,16.015625,14.52854394,14.52854394,21.9542293,21.9542293
AUS,Australia,1992,17.62711864,17.62711864,14.25855513,14.25855513,11.5946534,11.5946534,22.262309,22.262309
AUS,Australia,1993,18.53035144,18.53035144,13.22463768,13.22463768,9.949659461,9.949659461,21.46451679,21.46451679
AUS,Australia,1994,20.0,20.0,14.40972222,14.40972222,10.38773148,10.38773148,22.91277412,22.91277412
AUS,Australia,1995,18.15476191,18.15476191,14.47811448,14.47811448,8.453900709,8.453900709,21.83863833,21.83863833
AUS,Australia,1996,20.049578134251362,0.0,,,,,,
AUS,Australia,1997,19.44074567,19.44074567,15.25423729,15.25423729,12.18338399,12.18338399,22.41423781,22.41423781
AUS,Australia,1998,18.16993464,18.16993464,13.24200913,13.24200913,10.25,10.25,24.26560339,24.26560339
AUS,Australia,1999,18.6407815,18.6407815,14.28571429,14.28571429,7.5,7.5,23.46153846,23.46153846
AUS,Australia,2000,20.33371519,20.33371519,17.2,17.2,9.750566893,9.750566893,26.26628075,26.26628075
AUS,Australia,2001,19.68854283,19.68854283,14.34210526,14.34210526,11.0864745,11.0864745,25.97577389,25.97577389
AUS,Australia,2002,17.39593383,17.39593383,15.0,15.0,5.434782609,5.434782609,25.6,25.6
AUS,Australia,2003,18.35189069,18.35189069,13.04347826,13.04347826,9.819639279,9.819639279,24.12223667,24.12223667
AUS,Australia,2004,17.72406848,17.72406848,14.35294118,14.35294118,8.0,8.0,23.31288344,23.31288344
AUS,Australia,2005,18.43361987,18.43361987,15.77777778,15.77777778,2.0,2.0,25.88571429,25.88571429
AUS,Australia,2006,19.07308378,19.07308378,16.66666667,16.66666667,9.090909091,9.090909091,25.92,25.92
AUS,Australia,2007,19.88448845,19.88448845,15.4,15.4,7.894736842,7.894736842,25.3,25.3
AUS,Australia,2008,19.34189406,19.34189406,11.93737769,11.93737769,8.333333333,8.333333333,25.73635925,25.73635925
AUS,Australia,2009,19.72581874,19.72581874,16.36363636,16.36363636,8.412698413,8.412698413,25.26364053,25.26364053
AUS,Australia,2010,20.38123167,20.38123167,14.04293381,14.04293381,5.511811024,5.511811024,27.26086957,27.26086957
AUS,Australia,2011,19.45830364,19.45830364,15.96638656,15.96638656,8.116385911,8.116385911,26.16033755,26.16033755
AUS,Australia,2012,20.37659718,20.37659718,13.75,13.75,7.246376812,7.246376812,24.64,24.64
AUS,Australia,2013,21.38690862,21.38690862,18.0,18.0,8.450704225,8.450704225,26.52745553,26.52745553
AUS,Australia,2014,19.94496811,19.94496811,15.77335375,15.77335375,6.666666667,6.666666667,27.00039892,27.00039892
AUS,Australia,2015,18.83669352,18.83669352,13.30769231,13.30769231,7.506350422,7.506350422,24.77645306,24.77645306
AUS,Australia,2016,18.41601994,18.41601994,13.72843211,13.72843211,10.12053232,10.12053232,23.51346141,23.51346141
AUS,Australia,2017,15.31138461,15.31138461,13.00094822,13.00094822,6.25,6.25,21.90867857,21.90867857
AUS,Australia,2018,16.34133128,16.34133128,13.44856744,13.44856744,7.407407407,7.407407407,19.9930459,19.9930459
AUS,Australia,2019,17.77653193,17.77653193,15.31165312,15.31165312,4.727849534,4.727849534,23.3,23.3
AUS,Australia,2020,14.29781268,14.29781268,10.53333333,10.53333333,6.25,6.25,18.33833333,18.33833333
AUS,Australia,2021,15.77333185,15.77333185,10.47024531,10.47024531,6.976744186,6.976744186,23.31288344,23.31288344
AUS,Australia,2022,15.23969964,15.23969964,9.875,9.875,5.666666667,5.666666667,23.20542377,23.20542377
AUS,Australia,2023,13.00002495,13.00002495,11.34751773,11.34751773,3.434098064,3.434098064,17.07871352,17.07871352
AUS,Australia,2024,11.35703128,11.35703128,10.67121297,10.67121297,4.9,4.9,16.48894623,16.48894623
AUT,Austria,2000,28.29763882,28.29763882,23.14194309,23.14194309,,,,
AUT,Austria,2001,28.04396689,28.04396689,22.80181782,22.80181782,,,,
AUT,Austria,2002,27.39245884,27.39245884,24.48922362,24.48922362,,,,
AUT,Austria,2003,27.2818896,27.2818896,21.13692198,21.13692198,,,,
AUT,Austria,2004,27.91124234,27.91124234,22.43079216,22.43079216,31.95461923,31.95461923,28.18052775,28.18052775
AUT,Austria,2005,27.32388745,27.32388745,22.03208575,22.03208575,30.53130087,30.53130087,27.70605485,27.70605485
AUT,Austria,2006,27.14676332,27.14676332,21.85513043,21.85513043,30.40713702,30.40713702,27.07502231,27.07502231
AUT,Austria,2007,27.01663638,27.01663638,21.63427637,21.63427637,30.79671311,30.79671311,26.61260227,26.61260227
AUT,Austria,2008,26.00535704,26.00535704,20.91732027,20.91732027,28.62733086,28.62733086,26.12972378,26.12972378
AUT,Austria,2009,24.54597803,24.54597803,19.35596592,19.35596592,27.59473168,27.59473168,24.89631041,24.89631041
AUT,Austria,2010,24.14373323,24.14373323,19.18886268,19.18886268,26.5403804,26.5403804,24.46739066,24.46739066
AUT,Austria,2011,23.55489666,23.55489666,18.55055412,18.55055412,25.05538258,25.05538258,23.920956,23.920956
AUT,Austria,2012,22.97117524,22.97117524,18.18505684,18.18505684,24.4507918,24.4507918,23.337728,23.337728
AUT,Austria,2013,22.74180543,22.74180543,18.05321141,18.05321141,23.32666064,23.32666064,23.31191075,23.31191075
AUT,Austria,2014,22.37372994,22.37372994,17.72888425,17.72888425,22.91872237,22.91872237,23.03654507,23.03654507
AUT,Austria,2015,21.76276734,21.76276734,17.04325299,17.04325299,21.87740827,21.87740827,22.25129654,22.25129654
AUT,Austria,2016,19.83322424,19.83322424,15.67089964,15.67089964,19.02677183,19.02677183,20.9891378,20.9891378
AUT,Austria,2017,19.6190795,19.6190795,15.38215397,15.38215397,18.70090106,18.70090106,20.65126287,20.65126287
AUT,Austria,2018,19.21299348,19.21299348,14.87669089,14.87669089,18.11359046,18.11359046,20.07848297,20.07848297
AUT,Austria,2019,18.39321854,18.39321854,14.01174081,14.01174081,17.56912335,17.56912335,19.44654308,19.44654308
AUT,Austria,2020,16.9025604,16.9025604,12.38153967,12.38153967,17.53430372,17.53430372,18.06870065,18.06870065
AUT,Austria,2021,16.81950144,16.81950144,12.15720849,12.15720849,17.29570333,17.29570333,17.95133535,17.95133535
AUT,Austria,2022,16.58532495,16.58532495,12.14369704,12.14369704,15.93657533,15.93657533,17.61129572,17.61129572
AUT,Austria,2023,16.16614083,16.16614083,11.95571028,11.95571028,14.69130919,14.69130919,17.41387622,17.41387622
BEL,Belgium,1999,18.53908586,18.53908586,15.18298714,15.18298714,17.01272606,17.01272606,21.47134303,21.47134303
BEL,Belgium,2000,17.47491639,17.47491639,13.59923114,13.59923114,16.69928245,16.69928245,20.43998886,20.43998886
BEL,Belgium,2001,16.10711431,16.10711431,13.18681319,13.18681319,12.98377029,12.98377029,18.76490856,18.76490856
BEL,Belgium,2002,14.98616054,14.98616054,11.60471442,11.60471442,13.84335155,13.84335155,16.92226335,16.92226335
BEL,Belgium,2003,16.56716418,16.56716418,15.20518359,15.20518359,15.32066508,15.32066508,21.7789891,21.7789891
BEL,Belgium,2004,15.01632209,15.01632209,11.83206107,11.83206107,13.90652049,13.90652049,18.25284091,18.25284091
BEL,Belgium,2005,14.47979979,14.47979979,11.51109251,11.51109251,11.93771626,11.93771626,17.99348231,17.99348231
BEL,Belgium,2006,12.47364722,12.47364722,10.25326797,10.25326797,11.6694584,11.6694584,14.289012,14.289012
BEL,Belgium,2007,11.68608636,11.68608636,9.873617694,9.873617694,11.44834931,11.44834931,12.78212805,12.78212805
BEL,Belgium,2008,11.25082727,11.25082727,8.915753683,8.915753683,11.07196779,11.07196779,13.01708633,13.01708633
BEL,Belgium,2009,10.30595813,10.30595813,7.480461481,7.480461481,8.608608609,8.608608609,12.14161599,12.14161599
BEL,Belgium,2010,10.02514142,10.02514142,7.04379562,7.04379562,8.106772121,8.106772121,12.54658385,12.54658385
BEL,Belgium,2011,8.072437078,8.072437078,5.838108883,5.838108883,8.837890625,8.837890625,9.611533841,9.611533841
BEL,Belgium,2012,7.259036145,7.259036145,6.411149826,6.411149826,8.928571429,8.928571429,9.29090552,9.29090552
BEL,Belgium,2013,6.525625745,6.525625745,5.912863071,5.912863071,8.549834672,8.549834672,9.159566228,9.159566228
BEL,Belgium,2014,6.309420916,6.309420916,3.298900367,3.298900367,4.440497336,4.440497336,9.996227839,9.996227839
BEL,Belgium,2015,6.082238721,6.082238721,4.672,4.672,4.601226994,4.601226994,9.072506441,9.072506441
BEL,Belgium,2016,5.254237288,5.254237288,3.701298701,3.701298701,4.338202745,4.338202745,9.954669084,9.954669084
BEL,Belgium,2017,5.099778271,5.099778271,4.190296156,4.190296156,5.596529284,5.596529284,6.500177117,6.500177117
BEL,Belgium,2018,5.082454718,5.082454718,3.408756979,3.408756979,5.543618393,5.543618393,6.468100106,6.468100106
BEL,Belgium,2019,4.098791382,4.098791382,3.798185941,3.798185941,5.61990562,5.61990562,6.278176657,6.278176657
BEL,Belgium,2020,0.416992442,0.416992442,1.173184358,1.173184358,5.703422053,5.703422053,6.139198949,6.139198949
BEL,Belgium,2021,0.642013354,0.642013354,0.113960114,0.113960114,5.405405405,5.405405405,6.215813028,6.215813028
BEL,Belgium,2022,0.783162017,0.783162017,0.906908509,0.906908509,5.265289591,5.265289591,6.240273887,6.240273887
BEL,Belgium,2023,1.189691351,1.189691351,,,7.243076135,7.243076135,8.962919431,8.962919431
BGR,Bulgaria,2002,18.18957531,18.18957531,12.01269266,12.01269266,-1.894078705,-1.894078705,26.06674415,26.06674415
BGR,Bulgaria,2006,11.5588562,11.5588562,-1.342281879,-1.342281879,-2.668543780121695,0.0,19.75308642,19.75308642
BGR,Bulgaria,2010,14.31998628,14.31998628,6.934306569,6.934306569,-1.333333333,-1.333333333,22.19020173,22.19020173
BGR,Bulgaria,2014,14.62438816,14.62438816,4.0625,4.0625,-3.825136612,-3.825136612,24.6344207,24.6344207
BGR,Bulgaria,2018,14.51468555,14.51468555,3.03030303,3.03030303,-2.255639098,-2.255639098,22.90679305,22.90679305
BGR,Bulgaria,2022,14.52622702,14.52622702,0.565770863,0.565770863,6.725285171,6.725285171,21.85877466,21.85877466
BGR,Bulgaria,2023,14.88625789,14.88625789,,,,,20.68544738,20.68544738
BRA,Brazil,2012,11.64845192,11.64845192,15.0,15.0,1.1126082750000137,0.0,13.33333333,13.33333333
