STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,AUT,Austria,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,16.92,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,BEL,Belgium,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,18.49,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,CAN,Canada,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,19.35,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,CZE,Czechia,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,16.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,DNK,Denmark,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,28.33,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,20.27,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,FIN,Finland,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,24.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,FRA,France,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,22.35,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,DEU,Germany,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,11.42,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,GRC,Greece,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,17.99,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,HUN,Hungary,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,19.18,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,IRL,Ireland,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,14.61,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,ISR,Israel,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,22.65,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,ITA,Italy,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,14.53,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,JPN,Japan,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,4.93,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LVA,Latvia,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,19.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,23.26,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LUX,Luxembourg,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,13.53,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,MEX,Mexico,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,11.18,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,NLD,Netherlands,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,12.81,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,NOR,Norway,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,28.96,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,POL,Poland,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,17.43,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,PRT,Portugal,EMPG,Employment in government,PT_EMP,Percentage of employment,S13,General government,2023,2023,EMPPS_REP,Public employment and representation,2007,,14.49,,A,Normal value,0,Units,_Z,Not applicable,,
