STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,AUS,Australia,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,115.552273,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,AUT,Austria,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,133.768214,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,BEL,Belgium,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,127.10523,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,CAN,Canada,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,111.890595,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,43.859994,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,COL,Colombia,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,27.954897,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,CRI,Costa Rica,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,36.52665,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,CZE,Czechia,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,75.135883,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,DNK,Denmark,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,142.119426,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_MULT_INDICES(2.0),Annual GDP and consumption per capita  - multilateral indices,I,A,Annual,EST,Estonia,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PT_B1GQ_POP_PPP_OECD,Percentage of PPP converted GDP per capita of OECD,LR,Chain linked volume (rebased),MIX_100,Multilateral index rebased to 100,T0102,Table 0102 - GDP identity from the expenditure side,2000,,52.349915,,2020,,F,Free (free for publication),1,One,E,Estimated value,0,Units,_Z,Not applicable
