country,year,education_gap
Argentina,2004,-4.672500000000001
Argentina,2005,-4.492065
Argentina,2006,-6.080448999999998
Argentina,2008,-5.988670000000001
Argentina,2009,-7.011486
Argentina,2010,-6.9601289999999985
Argentina,2011,-6.985369000000002
Argentina,2012,-7.856686
Argentina,2013,-7.038125999999998
Argentina,2014,-7.506397
Argentina,2017,-7.452171330000002
Argentina,2018,-7.316978460000001
Argentina,2019,-7.647371290000002
Argentina,2020,-8.723592759999999
Argentina,2021,-8.49967956
Argentina,2022,-8.340250010000002
Argentina,2023,-7.549507139999999
Australia,1989,-9.691345000000002
Australia,1991,-8.963462999999997
Australia,1993,2.090357000000001
Australia,1994,2.666982000000001
Australia,1995,3.017521000000002
Australia,1997,-0.9936179999999979
Australia,1998,-1.9928239999999988
Australia,1999,-2.042748999999997
Australia,2000,-2.7334999999999994
Australia,2001,-3.630693000000001
Australia,2002,-2.6088239999999985
Australia,2003,-2.7492810000000034
Australia,2004,-3.516268
Australia,2005,-2.901674
Australia,2006,-4.694576000000001
Australia,2007,-4.664659
Australia,2008,-6.2202839999999995
Australia,2009,-5.872306000000002
Australia,2010,-6.382107000000005
Australia,2011,-7.470134999999999
Australia,2012,-7.444217999999999
Australia,2013,-8.811260000000004
Australia,2014,-6.950085000000001
Australia,2015,-8.798638000000004
Australia,2016,-7.862380999999999
Australia,2017,-9.701331999999994
Australia,2018,-10.395481000000004
Australia,2019,-9.173278000000003
Australia,2020,-10.354563999999996
Australia,2021,-10.092650999999996
Australia,2022,-10.729599
Australia,2023,-11.339210510000001
Australia,2024,-10.15079116821289
Austria,2004,7.682825000000001
Austria,2005,6.4853629999999995
Austria,2006,6.463581000000001
Austria,2007,5.920178
Austria,2008,5.412022
Austria,2009,4.4500579999999985
Austria,2010,3.746296000000001
Austria,2011,4.020661999999998
Austria,2012,3.965084000000001
Austria,2013,3.1937560000000005
Austria,2014,2.579626000000001
Austria,2015,2.826449
Austria,2016,1.569942000000001
Austria,2017,1.0448129999999978
Austria,2018,1.8874060000000021
Austria,2019,0.8334699999999984
Austria,2020,0.38476200000000205
Austria,2021,-0.1257050000000035
Austria,2022,0.3295749999999984
Austria,2023,-0.6310653699999946
Austria,2024,-1.6268882751464844
Belgium,1989,2.833333999999999
Belgium,1991,2.001778999999999
Belgium,1992,1.0278639999999974
Belgium,1994,-0.1294700000000013
Belgium,1995,-0.2566030000000019
Belgium,2000,-1.044899000000001
Belgium,2001,-0.9806729999999995
Belgium,2002,-1.539788999999999
Belgium,2003,-1.5696049999999993
Belgium,2004,-1.9011159999999983
Belgium,2005,-2.3216769999999975
Belgium,2006,-2.4600969999999975
Belgium,2007,-3.233878999999998
Belgium,2008,-3.315087000000002
Belgium,2009,-3.8473799999999976
Belgium,2010,-3.9862679999999955
Belgium,2011,-4.401412999999998
Belgium,2012,-5.203994000000002
Belgium,2013,-5.483897999999996
Belgium,2014,-5.995086999999998
Belgium,2015,-6.452223999999994
Belgium,2016,-6.635719000000002
Belgium,2017,-6.798774999999999
Belgium,2018,-7.384712999999998
Belgium,2019,-8.264423
Belgium,2020,-9.018634999999996
Belgium,2021,-9.053165999999997
Belgium,2022,-8.822074999999998
Belgium,2023,-9.098297120000005
Belgium,2024,-8.292667388916009
Brazil,2007,-1.8039758
Brazil,2008,-2.558779399999999
Brazil,2009,-2.2091198
Brazil,2011,-2.666511
Brazil,2012,-3.620432000000001
Brazil,2013,-3.858943
Brazil,2014,-4.406070999999999
Brazil,2015,-4.2135120000000015
Brazil,2016,-4.401174000000001
Brazil,2017,-4.670137
Brazil,2018,-5.208916
Brazil,2019,-5.306177999999999
Brazil,2020,-5.786545
Brazil,2021,-5.407526000000001
Brazil,2022,-5.8785799999999995
Brazil,2023,-5.51121521
Bulgaria,2015,-12.236663820000004
Bulgaria,2016,-12.107093809999999
Bulgaria,2019,-11.929771423339844
Bulgaria,2022,-12.312072749999999
Bulgaria,2023,-12.316091539999999
Bulgaria,2024,-13.150602340698235
Canada,1981,3.9972189999999976
Canada,1990,-0.44726
Canada,1991,-0.2907640000000029
Canada,1992,-0.45427500000000265
Canada,1993,-0.7759520000000002
Canada,1994,-2.4829289999999986
Canada,1995,-2.971179999999997
Canada,1996,-3.6364400000000003
Canada,1997,-3.826416000000002
Canada,1998,-3.6174740000000014
Canada,1999,-4.1629720000000034
Canada,2000,-4.874916000000006
Canada,2001,-4.929119
Canada,2002,-5.433846000000003
Canada,2003,-5.1862370000000055
Canada,2004,-6.428599999999996
Canada,2005,-6.822234999999999
Canada,2006,-7.264201999999997
Canada,2007,-8.074366999999995
Canada,2008,-8.472782000000002
Canada,2009,-8.858222999999995
Canada,2010,-9.757332000000005
Canada,2011,-10.069511413574219
Canada,2012,-10.927555084228523
Canada,2013,-11.43856048583985
Canada,2014,-10.954170227050781
Canada,2015,-11.701690673828125
Canada,2016,-12.086589813232415
Canada,2017,-12.510860443115227
Canada,2018,-12.92095947265625
Canada,2019,-12.25490951538086
Canada,2020,-12.972290039062493
Canada,2021,-12.922576904296875
Canada,2022,-13.50299072265625
Canada,2023,-13.719253540039062
Canada,2024,-13.681655883789055
Chile,2009,-0.021947000000000827
Chile,2011,0.17766400000000004
Chile,2013,-0.09284399999999948
Chile,2015,-0.03910799999999881
Chile,2017,-0.9900684356689524
Chile,2020,-1.017548999999999
Chile,2022,-2.4154911041259766
China (People’s Republic of),2010,2.197530499999999
China (People’s Republic of),2020,-0.2924118099999973
Colombia,2010,-1.9252520000000004
Colombia,2011,-2.2325649999999975
Colombia,2012,-2.7443869999999997
Colombia,2013,-3.3113799999999998
Colombia,2014,-3.571826999999999
Colombia,2015,-3.7904491399999998
Colombia,2016,-3.944963450000003
Colombia,2017,-3.637748720000001
Colombia,2018,-4.408870689999997
Colombia,2019,-4.5512619
Colombia,2020,-4.976818090000002
Colombia,2021,-4.700082779999999
Colombia,2022,-5.095922469999998
Colombia,2023,-5.260303499999999
Colombia,2024,-5.069353103637699
Costa Rica,1987,0.7223492999999994
Costa Rica,1988,0.7954880000000006
Costa Rica,1989,1.3379200000000004
Costa Rica,1990,0.6865459999999999
Costa Rica,1991,1.6753779000000009
Costa Rica,1992,1.319151999999999
Costa Rica,1993,0.989725
Costa Rica,1994,2.04674
Costa Rica,1995,1.7742579999999997
Costa Rica,1996,1.1308429999999987
Costa Rica,1997,1.6373230000000003
Costa Rica,1998,1.1159630000000007
Costa Rica,1999,1.3597849999999987
Costa Rica,2000,0.23638900000000262
Costa Rica,2001,0.4451450000000001
Costa Rica,2002,0.7996239999999979
Costa Rica,2003,0.912354999999998
Costa Rica,2004,1.0049840000000003
Costa Rica,2005,0.5350420000000007
Costa Rica,2006,-1.2784779999999998
Costa Rica,2007,-0.48638899999999907
Costa Rica,2008,-1.0256989999999995
Costa Rica,2009,-1.4491769999999988
Costa Rica,2010,-1.8973119999999994
Costa Rica,2011,-1.2303950000000015
Costa Rica,2012,-1.5746000000000002
Costa Rica,2013,-3.083966
Costa Rica,2014,-1.4689000000000014
Costa Rica,2015,-1.937587999999998
Costa Rica,2016,-3.607554999999998
Costa Rica,2017,-2.4103640000000013
Costa Rica,2018,-2.072405
Costa Rica,2019,-2.4017470000000003
Costa Rica,2020,-2.6851200000000013
Costa Rica,2021,-2.5239970000000014
Costa Rica,2022,-4.543284
Costa Rica,2023,-3.3187713599999995
Costa Rica,2024,-3.099884033203132
Croatia,2016,-5.566488270000001
Croatia,2019,-7.365152359008793
Croatia,2023,-9.10888099
Croatia,2024,-11.043731689453121
Czechia,1994,4.534506799999999
Czechia,1995,4.901043300000001
Czechia,1997,4.498294600000001
Czechia,1998,3.8419273
Czechia,1999,3.5578152999999997
Czechia,2000,3.3721569999999996
Czechia,2001,3.4896119999999993
Czechia,2002,3.6447850000000006
Czechia,2003,3.114196999999999
Czechia,2004,3.163326999999999
Czechia,2005,2.829338
Czechia,2006,2.479980000000001
Czechia,2007,2.199765000000001
Czechia,2008,1.5086560000000002
Czechia,2009,1.274394000000001
Czechia,2010,0.9868469999999974
Czechia,2011,0.35225600000000057
Czechia,2012,-0.5276999999999994
Czechia,2013,-1.005704999999999
Czechia,2014,-1.6946510000000004
Czechia,2015,-2.4751340000000006
Czechia,2016,-2.1527579999999986
Czechia,2017,-3.0670280000000005
Czechia,2018,-3.6825600000000023
Czechia,2019,-3.725158999999998
Czechia,2020,-4.863775
Czechia,2021,-5.857953999999999
Czechia,2022,-6.071822000000001
Czechia,2023,-7.26462746
Czechia,2024,-7.064287185668949
