country,year,employment_gap
Argentina,2004,28.217388
Argentina,2005,29.145401
Argentina,2006,29.181065000000004
Argentina,2008,30.594120000000004
Argentina,2009,28.106479999999998
Argentina,2010,29.201046000000005
Argentina,2011,29.004920999999996
Argentina,2012,28.37983700000001
Argentina,2013,28.928367999999992
Argentina,2014,28.520301999999994
Argentina,2017,25.51128387
Argentina,2018,23.896049499999997
Argentina,2019,22.491710659999995
Argentina,2020,21.947898860000002
Argentina,2021,22.192955020000007
Argentina,2022,21.15348053000001
Argentina,2023,20.347824099999997
Australia,1989,30.252891999999996
Australia,1991,25.771506999999993
Australia,1993,23.064159999999994
Australia,1994,23.456466999999996
Australia,1995,21.864051999999994
Australia,1997,21.399024999999995
Australia,1998,21.031021000000003
Australia,1999,20.999305000000007
Australia,2000,20.674633999999998
Australia,2001,19.338973999999993
Australia,2002,19.940441
Australia,2003,18.638413
Australia,2004,19.624610999999994
Australia,2005,18.70562799999999
Australia,2006,17.512253
Australia,2007,17.981369
Australia,2008,20.124816999999993
Australia,2009,14.675621000000007
Australia,2010,16.347199000000003
Australia,2011,16.211098000000007
Australia,2012,15.574736999999999
Australia,2013,14.506141999999997
Australia,2014,14.499283000000005
Australia,2015,14.062331999999998
Australia,2016,13.000876999999988
Australia,2017,12.322699999999998
Australia,2018,11.407425000000003
Australia,2019,11.981910999999997
Australia,2020,11.870681000000005
Australia,2021,9.873787000000007
Australia,2022,9.29274749000001
Australia,2023,8.280204780000005
Australia,2024,8.817916870117188
Austria,2004,15.000026999999996
Austria,2005,14.037579000000008
Austria,2006,13.91494800000001
Austria,2007,14.20047000000001
Austria,2008,13.291977000000003
Austria,2009,11.405746000000008
Austria,2010,10.852035999999998
Austria,2011,10.563026000000008
Austria,2012,10.164878999999999
Austria,2013,9.709450000000004
Austria,2014,9.152595000000005
Austria,2015,8.692709999999991
Austria,2016,8.697845999999998
Austria,2017,9.041740999999988
Austria,2018,9.637642
Austria,2019,9.271156999999988
Austria,2020,8.714264
Austria,2021,8.471710000000002
Austria,2022,8.15420499999999
Austria,2023,7.9628372200000115
Austria,2024,6.9222869873046875
Belgium,1989,33.92676900000001
Belgium,1991,30.929257
Belgium,1992,28.860019
Belgium,1994,25.915756999999992
Belgium,1995,24.804488999999997
Belgium,2000,20.572128
Belgium,2001,20.534062
Belgium,2002,19.534793999999998
Belgium,2003,17.93437200000001
Belgium,2004,17.758960000000002
Belgium,2005,16.832854999999995
Belgium,2006,15.961436999999997
Belgium,2007,15.402832000000004
Belgium,2008,14.260661999999996
Belgium,2009,12.871037000000001
Belgium,2010,12.572891000000006
Belgium,2011,12.107893999999995
Belgium,2012,11.354392999999988
Belgium,2013,10.649010000000004
Belgium,2014,9.251175000000003
Belgium,2015,8.641067000000007
Belgium,2016,9.863449000000003
Belgium,2017,10.239936
Belgium,2018,8.770659999999992
Belgium,2019,8.678069999999991
Belgium,2020,8.601387000000003
Belgium,2021,8.300071000000003
Belgium,2022,8.104897000000008
Belgium,2023,8.1613617
Belgium,2024,8.394935607910156
Brazil,2007,25.701099000000006
Brazil,2008,25.785086999999997
Brazil,2009,25.095295
Brazil,2011,30.819279
Brazil,2012,25.846196
Brazil,2013,25.552749000000006
Brazil,2014,24.244838
Brazil,2015,24.280487
Brazil,2016,23.615524
Brazil,2017,22.713028
Brazil,2018,21.911975999999996
Brazil,2019,21.981693000000007
Brazil,2020,22.772979999999997
Brazil,2021,24.339313000000004
Brazil,2022,22.392834
Brazil,2023,22.055343629999996
Bulgaria,2015,6.173683170000004
Bulgaria,2016,7.003784179999997
Bulgaria,2019,8.535881042480469
Bulgaria,2022,7.256164550000008
Bulgaria,2023,7.016654970000005
