country,year,gdp_pc
Australia,1970,133.887742
Australia,1971,130.362508
Australia,1972,126.330902
Australia,1973,123.413223
Australia,1974,122.926558
Australia,1975,125.558892
Australia,1976,123.878631
Australia,1977,120.197047
Australia,1978,119.639987
Australia,1979,118.394033
Australia,1980,120.284248
Australia,1981,121.675912
Australia,1982,117.742494
Australia,1983,118.941766
Australia,1984,118.972835
Australia,1985,118.618686
Australia,1986,117.311348
Australia,1987,118.761074
Australia,1988,117.04068
Australia,1989,115.785918
Australia,1990,111.212628
Australia,1991,109.605885
Australia,1992,111.163144
Australia,1993,113.792234
Australia,1994,114.43236
Australia,1995,115.394378
Australia,1996,115.582771
Australia,1997,116.199968
Australia,1998,118.220292
Australia,1999,118.464798
Australia,2000,115.552273
Australia,2001,117.818358
Australia,2002,119.056447
Australia,2003,120.985841
Australia,2004,120.323228
Australia,2005,119.529813
Australia,2006,119.440389
Australia,2007,119.17383
Australia,2008,119.431887
Australia,2009,124.713396
Australia,2010,122.776402
Australia,2011,123.987878
Australia,2012,124.053932
Australia,2013,123.738538
Australia,2014,122.649471
Australia,2015,121.821384
Australia,2016,121.155888
Australia,2017,120.03279
Australia,2018,118.734749
Australia,2019,115.56982
Australia,2020,121.892351
Australia,2021,119.829367
Australia,2022,119.313938
Australia,2023,116.881332
Australia,2024,114.656928
Austria,1970,122.828242
Austria,1971,125.517066
Austria,1972,127.171149
Austria,1973,126.375546
Austria,1974,130.956375
Austria,1975,131.545359
Austria,1976,132.567048
Austria,1977,135.540041
Austria,1978,130.845446
Austria,1979,134.203035
Austria,1980,136.106599
Austria,1981,133.758162
Austria,1982,137.303586
Austria,1983,138.65909
Austria,1984,133.409141
Austria,1985,132.830325
Austria,1986,132.860844
Austria,1987,130.798812
Austria,1988,130.117726
Austria,1989,130.72121
Austria,1990,132.464689
Austria,1991,134.83993
Austria,1992,134.214051
Austria,1993,132.9116
Austria,1994,132.514517
Austria,1995,133.364697
Austria,1996,132.825569
Austria,1997,131.591622
Austria,1998,133.098501
Austria,1999,134.372132
Austria,2000,133.768214
Austria,2001,134.102017
Austria,2002,134.26116
Austria,2003,133.336334
Austria,2004,132.431332
Austria,2005,131.705825
Austria,2006,132.061978
Austria,2007,133.997733
Austria,2008,135.98309
Austria,2009,136.393262
Austria,2010,135.26606
Austria,2011,136.743927
Austria,2012,135.935758
Austria,2013,133.311482
Austria,2014,131.208664
Austria,2015,129.047126
Austria,2016,128.512772
Austria,2017,127.863894
Austria,2018,128.159638
Austria,2019,128.396248
Austria,2020,125.229505
Austria,2021,123.608337
Austria,2022,125.508618
Austria,2023,122.162446
Austria,2024,119.307391
Belgium,1970,125.716897
Belgium,1971,126.923117
Belgium,1972,127.698116
Belgium,1973,128.72375
Belgium,1974,133.535834
Belgium,1975,132.12288
Belgium,1976,134.068979
Belgium,1977,131.169001
Belgium,1978,130.287569
Belgium,1979,129.49261
Belgium,1980,134.740056
Belgium,1981,132.479675
Belgium,1982,134.090532
Belgium,1983,131.634914
Belgium,1984,129.686779
Belgium,1985,128.091364
Belgium,1986,127.576559
Belgium,1987,126.711977
Belgium,1988,127.535659
Belgium,1989,127.723675
Belgium,1990,128.544971
Belgium,1991,129.613608
Belgium,1992,129.191158
Belgium,1993,126.595103
Belgium,1994,127.345437
Belgium,1995,127.739553
Belgium,1996,126.03422
Belgium,1997,126.720867
Belgium,1998,126.145586
Belgium,1999,127.032293
Belgium,2000,127.10523
Belgium,2001,127.197425
Belgium,2002,127.685922
Belgium,2003,126.712473
Belgium,2004,127.335825
Belgium,2005,126.80541
Belgium,2006,126.085848
Belgium,2007,127.295891
Belgium,2008,127.297197
Belgium,2009,129.173349
Belgium,2010,128.3651
Belgium,2011,127.267187
Belgium,2012,125.782045
Belgium,2013,124.204493
Belgium,2014,123.890361
Belgium,2015,122.564529
Belgium,2016,121.880724
Belgium,2017,120.614438
Belgium,2018,120.211937
Belgium,2019,121.139607
Belgium,2020,120.086987
Belgium,2021,120.00783
