country,year,Gender gap in managerial positions,Gender gap in political representation,Gender gap in top management positions,Lack of confidence in the judicial system and courts - Female - Percentage of population,Legal discrimination on access to justice,Legal discrimination on financial assets,Legal discrimination on freedom of movement,Legal discrimination on inheritance,Legal discrimination on violence against women,Legal discrimination on workplace rights,Perception that a woman earning more money than her husband causes problems,Perception that being a housewife is as fulfilling as working for pay,Perception that men make better political leaders than women,Perception that men should have more right to a job than women,"Perception that when a mother works for pay, the children suffer",Perceptions that men make better business executives than women,unpaid_care_gap
Afghanistan,2023,4.9,,4.7,81.2,,,,,,,,,,,,,
Africa,2023,32.8,25.4,13.8,41.9,23.1,16.2,17.6,51.9,53.7,73.1,53.1,52.2,62.4,55.4,54.6,55.7,-3.3000000000000003
Albania,2023,34.1,35.7,18.1,59.3,0.0,0.0,0.0,0.0,25.0,0.0,24.2,45.6,24.1,30.2,64.8,32.2,-4.4
Algeria,2023,8.4,8.1,,36.9,0.0,0.0,75.0,100.0,75.0,100.0,40.5,70.3,74.6,59.9,79.0,62.7,-4.3
America,2023,38.2,34.1,18.1,57.5,3.1,4.7,10.9,7.8,42.2,72.7,28.2,61.1,19.9,15.1,39.3,17.6,-2.0
Angola,2023,19.7,33.6,13.5,45.9,25.0,0.0,0.0,25.0,75.0,100.0,,,,,,,
Antigua and Barbuda,2023,45.1,11.1,17.5,,0.0,0.0,0.0,0.0,75.0,75.0,,,,,,,
Argentina,2023,33.0,44.8,8.0,75.1,0.0,0.0,0.0,0.0,75.0,100.0,19.6,57.0,22.7,13.8,38.1,19.1,-3.3999999999999995
Armenia,2023,30.9,35.5,19.1,61.9,25.0,25.0,0.0,25.0,25.0,25.0,45.7,54.0,52.1,54.9,40.9,47.3,-4.2
Asia,2023,19.3,20.6,14.5,21.6,26.4,10.2,21.3,50.9,53.7,69.9,36.0,69.1,56.0,54.8,62.1,48.4,-3.1999999999999997
Australia,2023,40.0,38.4,,48.5,0.0,0.0,0.0,0.0,25.0,0.0,6.5,65.2,12.6,6.8,25.8,10.7,-2.3
Austria,2023,32.8,41.0,18.8,24.6,0.0,0.0,0.0,0.0,25.0,0.0,,,19.8,13.7,47.2,14.1,-2.1999999999999997
Azerbaijan,2023,35.5,18.3,16.5,33.3,25.0,0.0,0.0,0.0,75.0,100.0,37.6,70.9,62.7,55.4,62.8,65.5,-3.9999999999999996
Bahamas,2023,51.6,18.0,33.2,,0.0,0.0,50.0,0.0,75.0,75.0,,,,,,,
Bahrain,2023,21.6,20.0,,25.5,75.0,0.0,0.0,100.0,75.0,25.0,,,,,,,
Bangladesh,2023,10.7,20.9,3.6,11.7,25.0,0.0,0.0,100.0,50.0,100.0,59.5,59.4,64.1,77.1,88.3,69.2,
Barbados,2023,45.9,26.7,25.4,,0.0,50.0,0.0,0.0,25.0,100.0,,,,,,,
Belgium,2023,34.5,42.7,17.9,35.2,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,-0.09999999999999998
Belize,2023,56.7,12.5,25.5,63.9,0.0,0.0,0.0,0.0,50.0,100.0,,,,,,,
Benin,2023,13.8,7.4,25.9,30.4,0.0,0.0,75.0,25.0,0.0,100.0,,,,,,,-3.0
Bhutan,2023,18.5,17.4,26.3,1.1,0.0,0.0,0.0,25.0,25.0,0.0,,,,,,,-2.2
Bolivia,2023,30.1,46.2,26.3,81.4,25.0,25.0,0.0,25.0,75.0,25.0,52.3,78.3,22.6,30.6,80.9,19.2,-2.6
Bosnia and Herzegovina,2023,25.1,16.7,16.6,66.1,0.0,25.0,0.0,0.0,50.0,100.0,45.7,71.0,32.1,40.4,50.2,27.2,
Botswana,2023,55.2,11.1,16.5,23.7,75.0,0.0,0.0,75.0,25.0,75.0,,,,,,,
Brazil,2023,36.8,17.7,19.4,57.3,0.0,0.0,75.0,25.0,0.0,75.0,36.3,49.7,18.6,18.8,55.1,22.1,-1.5999999999999999
Brunei Darussalam,2023,36.5,9.1,,,75.0,0.0,75.0,100.0,75.0,75.0,,,,,,,
Bulgaria,2023,41.3,24.2,28.8,67.6,0.0,0.0,0.0,0.0,75.0,100.0,41.5,62.0,45.4,29.7,28.1,38.6,-2.2
Burkina Faso,2023,58.1,16.9,11.3,28.0,25.0,25.0,0.0,25.0,25.0,100.0,,33.1,62.7,52.2,,71.3,
Burundi,2023,32.4,38.2,16.3,39.6,25.0,25.0,0.0,100.0,25.0,100.0,,,,,,,
Cabo Verde,2023,46.0,38.9,16.7,45.3,0.0,0.0,0.0,0.0,50.0,0.0,,,,,,,
Cambodia,2023,31.0,20.8,57.3,27.4,25.0,0.0,0.0,0.0,50.0,75.0,,,,,,,-2.7
Cameroon,2023,49.3,33.9,22.9,50.1,25.0,100.0,75.0,100.0,75.0,100.0,,,,,,,-2.6999999999999997
Canada,2023,35.6,30.5,,32.2,0.0,0.0,0.0,0.0,75.0,0.0,10.8,68.7,15.2,5.7,20.9,14.3,-1.2000000000000002
Central African Republic,2023,,12.9,12.1,30.4,25.0,25.0,0.0,25.0,75.0,100.0,,,,,,,
Chad,2023,,25.9,12.0,44.6,25.0,100.0,0.0,50.0,50.0,100.0,,,,,,,
Chile,2023,30.4,35.5,4.5,73.7,0.0,0.0,0.0,0.0,0.0,100.0,36.7,57.0,33.3,34.6,54.3,29.4,-2.9
China (People’s Republic of),2023,16.8,24.9,17.5,12.4,0.0,0.0,0.0,0.0,50.0,100.0,27.3,71.9,50.4,45.5,59.0,34.1,-2.3000000000000003
Chinese Taipei,2023,30.5,41.6,,64.2,0.0,0.0,0.0,0.0,25.0,0.0,19.7,81.3,22.1,40.5,10.4,19.0,
Colombia,2023,,28.9,18.9,75.4,0.0,0.0,0.0,25.0,25.0,100.0,43.0,60.1,24.1,18.9,49.1,18.9,-0.5
Comoros,2023,25.6,16.7,,68.8,75.0,25.0,0.0,100.0,50.0,75.0,,,,,,,
Congo,2023,69.4,14.6,17.2,48.4,25.0,0.0,0.0,25.0,50.0,100.0,,,,,,,
Costa Rica,2023,40.2,47.4,15.4,46.0,0.0,0.0,0.0,0.0,0.0,25.0,,,,,,,-3.3
Croatia,2023,28.4,31.8,27.0,76.6,0.0,0.0,0.0,0.0,50.0,0.0,31.7,71.5,18.0,21.8,41.2,12.8,
Cuba,2023,38.1,53.4,,41.4,0.0,0.0,0.0,25.0,75.0,75.0,,,,,,,-2.0
