country,year,part_time_gap
Argentina,2016,-33.711999999999996
Argentina,2017,-27.465999999999994
Argentina,2018,-33.37799999999999
Argentina,2019,-32.37200000000001
Argentina,2020,-23.563999999999993
Argentina,2021,-27.262
Argentina,2022,-30.858000000000004
Argentina,2023,-35.99
Australia,2001,-47.53956360000001
Australia,2002,-46.78653883999999
Australia,2003,-46.99380099999999
Australia,2004,-46.29520302
Australia,2005,-47.22859374000001
Australia,2006,-46.51192373999999
Australia,2007,-45.63676254000001
Australia,2008,-46.16407749999999
Australia,2009,-44.922
Australia,2010,-43.77199999999999
Australia,2011,-44.94200000000001
Australia,2012,-45.443999999999996
Australia,2013,-44.163999999999994
Australia,2014,-43.355999999999995
Australia,2015,-42.403999999999996
Australia,2016,-40.74199999999999
Australia,2017,-41.145999999999994
Australia,2018,-41.042
Australia,2019,-40.542
Australia,2020,-40.056000000000004
Australia,2021,-38.672
Australia,2022,-39.693999999999996
Australia,2023,-37.286
Australia,2024,-34.99
Austria,1995,-73.14558715999999
Austria,1996,-76.19281487999999
Austria,1997,-75.08449568
Austria,1998,-75.45972187999999
Austria,1999,-76.34128483999999
Austria,2000,-79.09598707999999
Austria,2001,-78.16743928
Austria,2002,-78.51421012
Austria,2003,-77.52211008
Austria,2004,-74.4219545
Austria,2005,-69.7710697
Austria,2006,-70.06039605999999
Austria,2007,-68.8118661
Austria,2008,-65.56327658000001
Austria,2009,-65.93799999999999
Austria,2010,-64.482
Austria,2011,-65.16399999999999
Austria,2012,-65.416
Austria,2013,-62.31999999999999
Austria,2014,-61.768
Austria,2015,-61.651999999999994
Austria,2016,-59.699999999999996
Austria,2017,-59.708
Austria,2018,-61.49199999999999
Austria,2019,-62.554
Austria,2020,-61.324000000000005
Austria,2021,-60.608000000000004
Austria,2022,-59.99199999999999
Austria,2023,-56.52799999999999
Austria,2024,-57.024
Belgium,1983,-58.88632870000001
Belgium,1984,-57.62985598
Belgium,1985,-56.63998839999999
Belgium,1986,-57.458554539999994
Belgium,1987,-57.170092579999995
Belgium,1988,-56.29780416
Belgium,1989,-62.46829697999999
Belgium,1990,-59.89381409999999
Belgium,1991,-61.05902562
Belgium,1992,-67.81430498
Belgium,1993,-65.2684619
Belgium,1994,-64.0230013
Belgium,1995,-65.14655472000001
Belgium,1996,-65.48721468
Belgium,1997,-66.09062478000001
Belgium,1998,-65.09105242000001
Belgium,1999,-58.99054744
Belgium,2000,-60.22538829999999
Belgium,2001,-65.22523566000001
Belgium,2002,-64.2843934
Belgium,2003,-63.81862038
Belgium,2004,-62.80804476
Belgium,2005,-62.29298435999999
Belgium,2006,-65.00776026
Belgium,2007,-63.237059259999995
Belgium,2008,-64.39213520000001
Belgium,2009,-62.99199999999999
Belgium,2010,-62.756
Belgium,2011,-61.99799999999999
Belgium,2012,-61.97999999999999
Belgium,2013,-63.94200000000001
Belgium,2014,-60.843999999999994
Belgium,2015,-60.879999999999995
Belgium,2016,-60.592000000000006
Belgium,2017,-59.20400000000001
Belgium,2018,-59.858000000000004
Belgium,2019,-58.614000000000004
Belgium,2020,-55.645999999999994
Belgium,2021,-52.135999999999996
Belgium,2022,-48.824000000000005
Belgium,2023,-48.114000000000004
Belgium,2024,-46.02600000000001
Brazil,2001,-40.752892419999995
Brazil,2002,-41.367976199999994
Brazil,2003,-40.05675282000001
Brazil,2004,-39.633971980000005
Brazil,2005,-39.99195602
Brazil,2006,-39.212105400000006
Brazil,2007,-37.78195488
Brazil,2008,-38.501533120000005
Brazil,2009,-38.5
Brazil,2011,-33.385999999999996
Brazil,2012,-29.626000000000005
Brazil,2013,-29.050000000000004
Brazil,2014,-27.915999999999997
Brazil,2015,-26.072000000000003
Brazil,2016,-25.067999999999998
Brazil,2017,-24.453999999999994
Brazil,2018,-24.165999999999997
Brazil,2019,-23.819999999999993
Brazil,2020,-24.146
Brazil,2021,-22.641999999999996
Brazil,2022,-23.994
Brazil,2023,-25.105999999999995
Brazil,2024,-23.727999999999994
Bulgaria,2000,-21.294898860000004
Bulgaria,2001,-20.175070340000005
Bulgaria,2002,-23.207134019999998
Bulgaria,2003,-21.5072435
Bulgaria,2004,-14.590333400000006
Bulgaria,2005,-26.144020620000006
Bulgaria,2006,-28.7535112
Bulgaria,2007,-30.66176306
Bulgaria,2008,-36.418283779999996
Bulgaria,2009,-33.722
Bulgaria,2010,-24.134
Bulgaria,2011,-22.120000000000005
Bulgaria,2012,-21.08
Bulgaria,2013,-25.372
Bulgaria,2014,-21.019999999999996
Bulgaria,2015,-24.004000000000005
Bulgaria,2016,-19.914
Bulgaria,2017,-17.441999999999993
Bulgaria,2018,-20.623999999999995
Bulgaria,2019,-21.104
Bulgaria,2020,-24.218000000000004
Bulgaria,2021,-34.012
Bulgaria,2022,-28.163999999999994
Bulgaria,2023,-15.941999999999993
Bulgaria,2024,-16.605999999999995
Canada,1976,-43.45064339999999
Canada,1977,-43.182369120000004
Canada,1978,-43.96977251999999
Canada,1979,-44.55951152
Canada,1980,-44.918511239999994
Canada,1981,-44.327979379999995
Canada,1982,-43.56530018000001
Canada,1983,-41.43856714
Canada,1984,-40.7062172
Canada,1985,-42.65289138
Canada,1986,-42.028690780000005
Canada,1987,-43.084516640000004
Canada,1988,-43.573849319999994
Canada,1989,-43.20311495999999
Canada,1990,-42.03373995999999
Canada,1991,-40.93255067999999
Canada,1992,-39.904416160000004
Canada,1993,-38.157341220000006
Canada,1994,-39.684663699999994
Canada,1995,-39.279800740000006
Canada,1996,-40.070305639999994
Canada,1997,-41.55417462
Canada,1998,-41.156182699999995
Canada,1999,-41.08920594
Canada,2000,-40.35114920000001
Canada,2001,-39.58899339999999
Canada,2002,-39.42418946000001
Canada,2003,-39.742959500000005
Canada,2004,-39.64887443999999
Canada,2005,-39.109591179999995
Canada,2006,-37.678007699999995
Canada,2007,-37.749931479999994
Canada,2008,-37.363300820000006
Canada,2009,-36.434
Canada,2010,-36.961999999999996
Canada,2011,-35.614000000000004
Canada,2012,-36.50800000000001
Canada,2013,-35.548
Canada,2014,-35.370000000000005
Canada,2015,-34.808
Canada,2016,-33.087999999999994
Canada,2017,-32.34
Canada,2018,-33.756
Canada,2019,-31.735999999999997
Canada,2020,-31.620000000000005
Canada,2021,-28.866000000000007
Canada,2022,-32.172
Canada,2023,-28.903999999999996
Canada,2024,-28.484
Chile,1996,-18.666738699999996
Chile,1997,-20.966975379999994
Chile,1998,-26.092234079999997
Chile,1999,-12.771516239999997
Chile,2000,-9.924132959999994
Chile,2001,-5.063583600000001
Chile,2002,-4.273183439999997
Chile,2003,-7.885758999999993
Chile,2004,-13.450231900000006
Chile,2005,-11.064684060000005
Chile,2006,-14.487052520000006
Chile,2007,-16.61026364
Chile,2008,-16.035949720000005
Chile,2009,-15.194000000000003
Chile,2010,-17.352000000000004
Chile,2011,-22.296000000000006
Chile,2012,-24.39
Chile,2013,-24.052000000000007
Chile,2014,-25.144000000000005
Chile,2015,-24.165999999999997
Chile,2016,-23.730000000000004
Chile,2017,-23.209999999999994
Chile,2018,-20.965999999999994
Chile,2019,-20.156000000000006
Chile,2020,-15.415999999999997
Chile,2021,-14.629999999999995
Chile,2022,-20.122
Chile,2023,-19.372
Chile,2024,-18.224000000000004
Colombia,2001,-24.445683340000002
Colombia,2002,-24.557637920000005
Colombia,2003,-25.675331479999997
Colombia,2004,-26.806381040000005
Colombia,2005,-23.790208519999993
Colombia,2007,-25.236215180000002
Colombia,2008,-31.931358859999996
Colombia,2009,-33.574000000000005
Colombia,2010,-33.452
Colombia,2011,-34.461999999999996
Colombia,2012,-34.01
