country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,overall_gap,gdp_pc,Gender gap in managerial positions,Gender gap in political representation,Gender gap in top management positions,Lack of confidence in the judicial system and courts - Female - Percentage of population,Legal discrimination on access to justice,Legal discrimination on financial assets,Legal discrimination on freedom of movement,Legal discrimination on inheritance,Legal discrimination on violence against women,Legal discrimination on workplace rights,Perception that a woman earning more money than her husband causes problems,Perception that being a housewife is as fulfilling as working for pay,Perception that men make better political leaders than women,Perception that men should have more right to a job than women,"Perception that when a mother works for pay, the children suffer",Perceptions that men make better business executives than women,unpaid_care_gap,part_time_gap,Gender gap in representation in parliament,Gender gap in professional judges representation,Gender gap in public sector employment ,Gender gap in senior management positions in national administrations
Argentina,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2004,,-4.672500000000001,28.217388,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2005,,-4.492065,29.145401,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2006,,-6.080448999999998,29.181065000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2008,,-5.988670000000001,30.594120000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2009,,-7.011486,28.10648,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2010,,-6.960128999999999,29.201046000000005,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2011,,-6.985369000000002,29.004921,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2012,,-7.856686,28.37983700000001,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2013,,-7.038125999999998,28.928367999999992,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2014,,-7.506397,28.520301999999997,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016,,,,,,,,,,,,,,,,,,,,,,,,,-33.712,,,,
Argentina,2017,11.12474313,-7.452171330000002,25.51128387,,,,,,,,,,,,,,,,,,,,,,-27.465999999999998,,,,
Argentina,2018,9.953740842,-7.316978460000001,23.8960495,,,,,,,,,,,,,,,,,,,,,,-33.37799999999999,,,,
Argentina,2019,9.036431868,-7.647371290000002,22.491710659999995,,,,,,,,,,,,,,,,,,,,,,-32.37200000000001,,,,
Argentina,2020,6.757103788,-8.723592759999999,21.94789886,,,,,,,,,,,,,,,,,,,,,,-23.563999999999997,,,,
Argentina,2021,7.935946485,-8.49967956,22.192955020000007,,,,,,,,,,,,,,,,,,,,,,-27.262,,,,
Argentina,2022,9.346530528,-8.340250010000002,21.15348053000001,,,,,,,,,,,,,,,,,,,,,,-30.858000000000004,,,,
