country,year,Gender gap in representation in parliament,Gender gap in professional judges representation,Gender gap in public sector employment ,Gender gap in senior management positions in national administrations
Australia,2002,49.4,,,
Australia,2011,,,-22.239999999999995,
Australia,2012,50.6,,,
Australia,2015,46.6,,,
Australia,2017,42.6,,,
Australia,2019,40.0,,,
Australia,2020,,,-27.519999999999996,
Australia,2021,37.8,,,
Australia,2023,23.200000000000003,,,
Austria,2002,46.4,,,
Austria,2007,,,,47.8
Austria,2008,,,,46.2
Austria,2009,,,,43.4
Austria,2010,,,,40.2
Austria,2011,,,22.14,37.6
Austria,2012,44.2,,,37.2
Austria,2013,,,,34.2
Austria,2014,,-2.0,,31.599999999999994
Austria,2015,38.8,,,29.200000000000003
Austria,2016,,,,26.599999999999994
Austria,2017,38.8,,,25.400000000000006
Austria,2018,,,,24.599999999999994
Austria,2019,25.599999999999994,,,20.599999999999994
Austria,2020,,-2.0,16.459999999999994,22.0
Austria,2021,20.200000000000003,,,19.0
Austria,2022,,,,16.400000000000006
Austria,2023,19.200000000000003,,,
Belgium,2002,53.4,,,
Belgium,2007,,,,76.6
Belgium,2008,,,,75.4
Belgium,2009,,,,70.6
Belgium,2010,,,,75.0
Belgium,2011,,,-10.519999999999996,76.2
Belgium,2012,24.0,,,78.4
Belgium,2013,,,,77.4
Belgium,2014,,-4.0,,74.0
Belgium,2015,21.400000000000006,,,74.6
Belgium,2016,,,,66.2
Belgium,2017,24.0,,,62.8
Belgium,2018,,,,61.2
Belgium,2019,24.0,,,57.2
Belgium,2020,,-16.0,-14.459999999999994,55.2
Belgium,2021,16.0,,,49.4
Belgium,2022,,,,48.6
Belgium,2023,14.599999999999994,,,
Brazil,2011,,,-14.239999999999995,
Brazil,2012,82.8,,,
Brazil,2017,78.6,,,
Brazil,2020,,,-12.060000000000002,
Brazil,2021,69.6,,,
Brazil,2023,64.6,,,
Bulgaria,2007,,,,-3.0
Bulgaria,2008,,,,-4.799999999999997
Bulgaria,2009,,,,-2.200000000000003
Bulgaria,2010,,,,4.0
Bulgaria,2011,,,-14.840000000000003,8.0
Bulgaria,2012,54.2,,,-3.4000000000000057
