country,year,wage_gap
Argentina,1970,
Argentina,1971,
Argentina,1972,
Argentina,1973,
Argentina,1974,
Argentina,1975,
Argentina,1976,
Argentina,1977,
Argentina,1978,
Argentina,1979,
Argentina,1980,
Argentina,1981,
Argentina,1982,
Argentina,1983,
Argentina,1984,
Argentina,1985,
Argentina,1986,
Argentina,1987,
Argentina,1988,
Argentina,1989,
Argentina,1990,
Argentina,1991,
Argentina,1992,
Argentina,1993,
Argentina,1994,
Argentina,1995,
Argentina,1996,
Argentina,1997,
Argentina,1998,
Argentina,1999,
Argentina,2000,
Argentina,2001,
Argentina,2002,
Argentina,2003,
Argentina,2004,
Argentina,2005,
Argentina,2006,
Argentina,2007,
Argentina,2008,
Argentina,2009,
Argentina,2010,
Argentina,2011,
Argentina,2012,
Argentina,2013,
Argentina,2014,
Argentina,2015,
Argentina,2016,
Argentina,2017,11.12474313
Argentina,2018,9.953740842
Argentina,2019,9.036431868
Argentina,2020,6.757103788
Argentina,2021,7.935946485
Argentina,2022,9.346530528
Argentina,2023,7.897972593
Argentina,2024,11.55910732
Australia,1970,
Australia,1971,
Australia,1972,
Australia,1973,
Australia,1974,
Australia,1975,25.65789474
Australia,1976,24.71264368
Australia,1977,23.56020942
Australia,1978,22.48803828
Australia,1979,22.76785714
Australia,1980,22.05645161
Australia,1981,21.37681159
Australia,1982,23.91304348
Australia,1983,21.76470588
Australia,1984,22.13114754
Australia,1985,23.0964467
Australia,1986,20.71428571
Australia,1987,20.4954955
Australia,1988,20.79831933
Australia,1989,21.19460501
Australia,1990,20.73394495
Australia,1991,19.12280702
Australia,1992,17.62711864
Australia,1993,18.53035144
Australia,1994,20.0
Australia,1995,18.15476191
Australia,1996,0.0
Australia,1997,19.44074567
Australia,1998,18.16993464
Australia,1999,18.6407815
Australia,2000,20.33371519
Australia,2001,19.68854283
Australia,2002,17.39593383
Australia,2003,18.35189069
Australia,2004,17.72406848
Australia,2005,18.43361987
Australia,2006,19.07308378
Australia,2007,19.88448845
Australia,2008,19.34189406
Australia,2009,19.72581874
Australia,2010,20.38123167
Australia,2011,19.45830364
Australia,2012,20.37659718
Australia,2013,21.38690862
Australia,2014,19.94496811
Australia,2015,18.83669352
Australia,2016,18.41601994
Australia,2017,15.31138461
Australia,2018,16.34133128
Australia,2019,17.77653193
Australia,2020,14.29781268
Australia,2021,15.77333185
Australia,2022,15.23969964
Australia,2023,13.00002495
Australia,2024,11.35703128
Austria,1970,
Austria,1971,
Austria,1972,
Austria,1973,
Austria,1974,
Austria,1975,
Austria,1976,
Austria,1977,
Austria,1978,
Austria,1979,
Austria,1980,
Austria,1981,
Austria,1982,
Austria,1983,
Austria,1984,
Austria,1985,
Austria,1986,
Austria,1987,
Austria,1988,
Austria,1989,
Austria,1990,
Austria,1991,
Austria,1992,
Austria,1993,
Austria,1994,
Austria,1995,
Austria,1996,
Austria,1997,
Austria,1998,
Austria,1999,
Austria,2000,28.29763882
Austria,2001,28.04396689
Austria,2002,27.39245884
Austria,2003,27.2818896
Austria,2004,27.91124234
Austria,2005,27.32388745
Austria,2006,27.14676332
Austria,2007,27.01663638
Austria,2008,26.00535704
Austria,2009,24.54597803
Austria,2010,24.14373323
Austria,2011,23.55489666
Austria,2012,22.97117524
Austria,2013,22.74180543
Austria,2014,22.37372994
Austria,2015,21.76276734
Austria,2016,19.83322424
Austria,2017,19.6190795
Austria,2018,19.21299348
Austria,2019,18.39321854
Austria,2020,16.9025604
Austria,2021,16.81950144
Austria,2022,16.58532495
Austria,2023,16.16614083
Austria,2024,
Belgium,1970,
Belgium,1971,
Belgium,1972,
Belgium,1973,
Belgium,1974,
Belgium,1975,
Belgium,1976,
Belgium,1977,
Belgium,1978,
Belgium,1979,
Belgium,1980,
Belgium,1981,
Belgium,1982,
Belgium,1983,
Belgium,1984,
Belgium,1985,
Belgium,1986,
Belgium,1987,
Belgium,1988,
Belgium,1989,
Belgium,1990,
Belgium,1991,
Belgium,1992,
Belgium,1993,
Belgium,1994,
Belgium,1995,
Belgium,1996,
Belgium,1997,
Belgium,1998,
Belgium,1999,18.53908586
Belgium,2000,17.47491639
Belgium,2001,16.10711431
Belgium,2002,14.98616054
Belgium,2003,16.56716418
Belgium,2004,15.01632209
Belgium,2005,14.47979979
Belgium,2006,12.47364722
Belgium,2007,11.68608636
Belgium,2008,11.25082727
Belgium,2009,10.30595813
Belgium,2010,10.02514142
Belgium,2011,8.072437078
Belgium,2012,7.259036145
Belgium,2013,6.525625745
Belgium,2014,6.309420916
Belgium,2015,6.082238721
Belgium,2016,5.254237288
Belgium,2017,5.099778271
Belgium,2018,5.082454718
Belgium,2019,4.098791382
Belgium,2020,0.416992442
Belgium,2021,0.642013354
Belgium,2022,0.783162017
Belgium,2023,1.189691351
Belgium,2024,
Brazil,1970,
Brazil,1971,
Brazil,1972,
Brazil,1973,
Brazil,1974,
Brazil,1975,
Brazil,1976,
Brazil,1977,
Brazil,1978,
Brazil,1979,
Brazil,1980,
Brazil,1981,
Brazil,1982,
Brazil,1983,
Brazil,1984,
Brazil,1985,
Brazil,1986,
Brazil,1987,
Brazil,1988,
Brazil,1989,
Brazil,1990,
Brazil,1991,
Brazil,1992,
