country,year,wage_gap
Argentina,2017,11.12474313
Argentina,2018,9.953740842
Argentina,2019,9.036431868
Argentina,2020,6.757103788
Argentina,2021,7.935946485
Argentina,2022,9.346530528
Argentina,2023,7.897972593
Argentina,2024,11.55910732
Australia,1975,25.65789474
Australia,1976,24.71264368
Australia,1977,23.56020942
Australia,1978,22.48803828
Australia,1979,22.76785714
Australia,1980,22.05645161
Australia,1981,21.37681159
Australia,1982,23.91304348
Australia,1983,21.76470588
Australia,1984,22.13114754
Australia,1985,23.0964467
Australia,1986,20.71428571
Australia,1987,20.4954955
Australia,1988,20.79831933
Australia,1989,21.19460501
Australia,1990,20.73394495
Australia,1991,19.12280702
Australia,1992,17.62711864
Australia,1993,18.53035144
Australia,1994,20.0
Australia,1995,18.15476191
Australia,1996,0.0
Australia,1997,19.44074567
Australia,1998,18.16993464
Australia,1999,18.6407815
Australia,2000,20.33371519
Australia,2001,19.68854283
Australia,2002,17.39593383
Australia,2003,18.35189069
Australia,2004,17.72406848
Australia,2005,18.43361987
Australia,2006,19.07308378
Australia,2007,19.88448845
Australia,2008,19.34189406
Australia,2009,19.72581874
Australia,2010,20.38123167
Australia,2011,19.45830364
Australia,2012,20.37659718
Australia,2013,21.38690862
Australia,2014,19.94496811
Australia,2015,18.83669352
Australia,2016,18.41601994
Australia,2017,15.31138461
Australia,2018,16.34133128
Australia,2019,17.77653193
Australia,2020,14.29781268
Australia,2021,15.77333185
Australia,2022,15.23969964
Australia,2023,13.00002495
Australia,2024,11.35703128
Austria,2000,28.29763882
Austria,2001,28.04396689
Austria,2002,27.39245884
Austria,2003,27.2818896
Austria,2004,27.91124234
Austria,2005,27.32388745
Austria,2006,27.14676332
Austria,2007,27.01663638
Austria,2008,26.00535704
Austria,2009,24.54597803
Austria,2010,24.14373323
Austria,2011,23.55489666
Austria,2012,22.97117524
Austria,2013,22.74180543
Austria,2014,22.37372994
Austria,2015,21.76276734
Austria,2016,19.83322424
Austria,2017,19.6190795
Austria,2018,19.21299348
Austria,2019,18.39321854
Austria,2020,16.9025604
Austria,2021,16.81950144
Austria,2022,16.58532495
Austria,2023,16.16614083
Belgium,1999,18.53908586
Belgium,2000,17.47491639
Belgium,2001,16.10711431
Belgium,2002,14.98616054
Belgium,2003,16.56716418
Belgium,2004,15.01632209
Belgium,2005,14.47979979
Belgium,2006,12.47364722
Belgium,2007,11.68608636
Belgium,2008,11.25082727
Belgium,2009,10.30595813
Belgium,2010,10.02514142
Belgium,2011,8.072437078
Belgium,2012,7.259036145
Belgium,2013,6.525625745
Belgium,2014,6.309420916
Belgium,2015,6.082238721
Belgium,2016,5.254237288
Belgium,2017,5.099778271
Belgium,2018,5.082454718
Belgium,2019,4.098791382
Belgium,2020,0.416992442
Belgium,2021,0.642013354
Belgium,2022,0.783162017
Belgium,2023,1.189691351
Brazil,2012,11.64845192
Brazil,2013,11.79939343
Brazil,2014,12.83887062
Brazil,2015,11.63160295
Brazil,2016,8.815691445
Brazil,2017,9.482170541
Brazil,2018,9.505130601
Brazil,2019,8.974902007
Brazil,2020,8.358559657
Brazil,2021,7.387457195
Brazil,2022,9.011560557
Brazil,2023,8.788449246
Brazil,2024,5.314373434
Bulgaria,2002,18.18957531
Bulgaria,2006,11.5588562
Bulgaria,2010,14.31998628
Bulgaria,2014,14.62438816
Bulgaria,2018,14.51468555
Bulgaria,2022,14.52622702
Bulgaria,2023,14.88625789
Canada,1997,22.76449574
Canada,1998,23.15120815
Canada,1999,23.00278942
Canada,2000,23.39336881
Canada,2001,23.30641766
Canada,2002,22.1238294
Canada,2003,21.40184466
Canada,2004,20.68925275
Canada,2005,20.13391643
Canada,2006,20.75155372
Canada,2007,20.89448296
Canada,2008,21.20306664
Canada,2009,19.62402129
Canada,2010,19.29934989
Canada,2011,18.74217081
Canada,2012,18.5265915
Canada,2013,18.47757423
Canada,2014,18.3583841
Canada,2015,17.99712911
Canada,2016,17.69040345
Canada,2017,18.03417481
Canada,2018,17.3550548
Canada,2019,16.97332896
Canada,2020,15.90400787
Canada,2021,15.84975038
Canada,2022,16.26509369
Canada,2023,16.20368533
Canada,2024,15.65695904
Chile,1998,18.30393238
Chile,2000,12.82599321
Chile,2003,11.84948434
Chile,2006,8.566773198
Chile,2009,13.35250484
Chile,2011,13.08551538
Chile,2013,15.96968668
Chile,2015,14.59520155
Chile,2017,10.65840922
Chile,2020,14.83171859
Chile,2021,16.06367699
Chile,2022,19.72992693
Chile,2023,18.8593827
Colombia,2007,10.62042764
Colombia,2008,11.03785067
Colombia,2009,10.22112901
Colombia,2010,13.96253308
Colombia,2011,10.60217166
Colombia,2012,12.91111885
Colombia,2013,9.749305064
Colombia,2014,14.91505387
Colombia,2015,11.44422481
Colombia,2016,9.850291028
Colombia,2017,8.871017801
Colombia,2018,6.510817966
