STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,JOB_COVERAGE,Job coverage,WORKER_STATUS,Worker status,WORK_TIME_ARNGMNT,Working time arrangement,METHODOLOGY,Methodology,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,TUR,Türkiye,EMP_PT,Part-time employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_1,Employees,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2012,,49.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,TUR,Türkiye,EMP_PT,Part-time employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_1,Employees,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2012,,50.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2010,,9.344581192,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2011,,8.88913457,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2012,,9.960220711,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2013,,12.40103254,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2014,,10.94570663,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2015,,8.045541974,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2016,,9.32366305,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,OECD,OECD,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,MAIN,Main job,ICSE93_2T5,Self-employed,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2017,,10.46851708,,A,Normal value,0,Units,1,One
