REF_AREA,Reference area,AGE,Age,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,fertility_rate
SVN,Slovenia,_T,Total,1990,1.46,A,Normal value,1.46
FRA,France,_T,Total,1990,1.78,A,Normal value,1.78
ROU,Romania,_T,Total,1990,1.83,A,Normal value,1.83
DNK,Denmark,_T,Total,1990,1.67,A,Normal value,1.67
IDN,Indonesia,_T,Total,1990,3.33,A,Normal value,3.33
AUT,Austria,_T,Total,1990,1.46,A,Normal value,1.46
BGR,Bulgaria,_T,Total,1990,1.82,A,Normal value,1.82
PRT,Portugal,_T,Total,1990,1.56,A,Normal value,1.56
CZE,Czechia,_T,Total,1990,1.9,A,Normal value,1.9
POL,Poland,_T,Total,1990,2.06,A,Normal value,2.06
ITA,Italy,_T,Total,1990,1.33,A,Normal value,1.33
BEL,Belgium,_T,Total,1990,1.62,A,Normal value,1.62
LUX,Luxembourg,Y30T34,From 30 to 34 years,1990,0.42064,A,Normal value,0.42064
POL,Poland,Y30T34,From 30 to 34 years,1990,0.29659,A,Normal value,0.29659
FIN,Finland,Y30T34,From 30 to 34 years,1990,0.47373,A,Normal value,0.47373
CHE,Switzerland,Y30T34,From 30 to 34 years,1990,0.45852,A,Normal value,0.45852
NLD,Netherlands,Y30T34,From 30 to 34 years,1990,0.53,A,Normal value,0.53
ISL,Iceland,Y30T34,From 30 to 34 years,1990,0.52235,A,Normal value,0.52235
SVK,Slovak Republic,Y30T34,From 30 to 34 years,1990,0.23416,A,Normal value,0.23416
AUS,Australia,Y30T34,From 30 to 34 years,1990,0.5085,A,Normal value,0.5085
EST,Estonia,Y30T34,From 30 to 34 years,1990,0.27664,A,Normal value,0.27664
CHE,Switzerland,Y15T19,From 15 to 19 years,1990,0.0326,A,Normal value,0.0326
FIN,Finland,Y35T39,From 35 to 39 years,1990,0.18599,A,Normal value,0.18599
AUS,Australia,Y35T39,From 35 to 39 years,1990,0.1734999999999999,A,Normal value,0.1734999999999999
NOR,Norway,Y35T39,From 35 to 39 years,1990,0.15999,A,Normal value,0.15999
GRC,Greece,Y30T34,From 30 to 34 years,1990,0.26942,A,Normal value,0.26942
LTU,Lithuania,Y30T34,From 30 to 34 years,1990,0.28201,A,Normal value,0.28201
DNK,Denmark,Y30T34,From 30 to 34 years,1990,0.43364,A,Normal value,0.43364
ITA,Italy,Y30T34,From 30 to 34 years,1990,0.36289,A,Normal value,0.36289
NOR,Norway,Y20T24,From 20 to 24 years,1990,0.46717,A,Normal value,0.46717
GRC,Greece,Y20T24,From 20 to 24 years,1990,0.42403,A,Normal value,0.42403
ISL,Iceland,Y35T39,From 35 to 39 years,1990,0.2209199999999999,A,Normal value,0.2209199999999999
EST,Estonia,Y15T19,From 15 to 19 years,1990,0.27546,A,Normal value,0.27546
GRC,Greece,Y35T39,From 35 to 39 years,1990,0.10036,A,Normal value,0.10036
ROU,Romania,Y35T39,From 35 to 39 years,1990,0.09611,A,Normal value,0.09611
LTU,Lithuania,Y35T39,From 35 to 39 years,1990,0.1121099999999999,A,Normal value,0.1121099999999999
SVK,Slovak Republic,Y35T39,From 35 to 39 years,1990,0.07578,A,Normal value,0.07578
NOR,Norway,Y40T44,From 40 to 44 years,1990,0.0237199999999999,A,Normal value,0.0237199999999999
ROU,Romania,Y40T44,From 40 to 44 years,1990,0.02597,A,Normal value,0.02597
HUN,Hungary,Y40T44,From 40 to 44 years,1990,0.01453,A,Normal value,0.01453
BGR,Bulgaria,Y40T44,From 40 to 44 years,1990,0.00921,A,Normal value,0.00921
LTU,Lithuania,Y40T44,From 40 to 44 years,1990,0.02606,A,Normal value,0.02606
PRT,Portugal,Y40T44,From 40 to 44 years,1990,0.02815,A,Normal value,0.02815
GRC,Greece,Y40T44,From 40 to 44 years,1990,0.01856,A,Normal value,0.01856
EST,Estonia,Y40T44,From 40 to 44 years,1990,0.02328,A,Normal value,0.02328
FRA,France,Y15T19,From 15 to 19 years,1990,0.06077,A,Normal value,0.06077
AUS,Australia,Y15T19,From 15 to 19 years,1990,0.1105,A,Normal value,0.1105
SWE,Sweden,Y15T19,From 15 to 19 years,1990,0.0693,A,Normal value,0.0693
ESP,Spain,Y15T19,From 15 to 19 years,1990,0.0593599999999999,A,Normal value,0.0593599999999999
