STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T64,From 15 to 64 years,M,Male,PS,Persons,2008,,872586,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T64,From 15 to 64 years,M,Male,PS,Persons,2007,,859888,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T64,From 15 to 64 years,M,Male,PS,Persons,2006,,846514,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2003,,1306147,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2002,,1291064,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2001,,1269840,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2025,,381390,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2024,,385405,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2023,,387733,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2018,,1359241,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2017,,1357305,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2016,,1369905,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2015,,1395712,,CHL,Chile,A,Normal value,0,Units,0,Zero
